Metric,q_0.025,q_0.25,q_0.5,q_0.75,q_0.975
FOLD_ENRICHMENT,489.50122139999996,508.258749,525.645847,537.962902,556.0305664
MEAN_ALIGNED_READ_LENGTH,97.7723636,98.316945,98.462961,98.489739,98.6350634
MEAN_TARGET_COVERAGE,174.1640564,218.383055,254.909248,287.805146,358.8314238000001
PCT_ADAPTER,3.999999999999999e-7,1e-6,1e-6,3e-6,5.400000000000006e-6
PCT_CHIMERAS,0.0049922,0.007924,0.009849,0.011484,0.0176566
PCT_PF_READS_ALIGNED,0.9961062,0.998081,0.998552,0.998808,0.9989764000000001
PCT_PF_READS_IMPROPER_PAIRS,0.010269799999999999,0.017674,0.019295,0.021492,0.0261276
PCT_READS_ALIGNED_IN_PAIRS,0.999105,0.999356,0.999423,0.999465,0.9995504000000001
PCT_SOFTCLIP,0.0116786,0.013011,0.013712,0.015371,0.018606800000000007
PCT_TARGET_BASES_100X,0.9281188,0.973888,0.983417,0.988325,0.9927026
PCT_USABLE_BASES_ON_TARGET,0.1300444,0.146407,0.151822,0.156641,0.16583760000000003
PERCENT_DUPLICATION,0.36928859999999997,0.385434,0.392157,0.398571,0.44384180000000006
STRAND_BALANCE,0.4999282,0.499949,0.499977,0.499985,0.5000054
ZERO_CVG_TARGETS_PCT,3.132e-4,3.69e-4,6.45e-4,8.29e-4,0.001013
